timestamp,aggregate
2026-01-01 00:00:00,205.81
2026-01-01 00:00:06,212.89
2026-01-01 00:00:12,206.34
2026-01-01 00:00:18,212.54
2026-01-01 00:00:24,208.7
2026-01-01 00:00:30,208.1
2026-01-01 00:00:36,208.76
2026-01-01 00:00:42,207.42
2026-01-01 00:00:48,212.72
2026-01-01 00:00:54,211.64
2026-01-01 00:01:00,208.05
2026-01-01 00:01:06,211.03
2026-01-01 00:01:12,212.28
2026-01-01 00:01:18,215.21
2026-01-01 00:01:24,204.46
2026-01-01 00:01:30,208.9
2026-01-01 00:01:36,204.79
2026-01-01 00:01:42,205.42
2026-01-01 00:01:48,210.58
2026-01-01 00:01:54,215.08
2026-01-01 00:02:00,219.43
2026-01-01 00:02:06,209.79
2026-01-01 00:02:12,209.51
2026-01-01 00:02:18,214.18
2026-01-01 00:02:24,208.64
2026-01-01 00:02:30,207.44
2026-01-01 00:02:36,203.31
2026-01-01 00:02:42,214.66
2026-01-01 00:02:48,209.24
2026-01-01 00:02:54,207.78
2026-01-01 00:03:00,220.43
2026-01-01 00:03:06,210.22
2026-01-01 00:03:12,208.01
2026-01-01 00:03:18,211.6
2026-01-01 00:03:24,215.34
2026-01-01 00:03:30,214.18
2026-01-01 00:03:36,211.1
2026-01-01 00:03:42,204.8
2026-01-01 00:03:48,211.06
2026-01-01 00:03:54,206.12
2026-01-01 00:04:00,204.22
2026-01-01 00:04:06,207.06
2026-01-01 00:04:12,207.89
2026-01-01 00:04:18,210.57
2026-01-01 00:04:24,210.44
2026-01-01 00:04:30,203.23
2026-01-01 00:04:36,210.1
2026-01-01 00:04:42,206.5
2026-01-01 00:04:48,212.32
2026-01-01 00:04:54,203.2
2026-01-01 00:05:00,210.23
2026-01-01 00:05:06,202.05
2026-01-01 00:05:12,204.17
2026-01-01 00:05:18,221.95
2026-01-01 00:05:24,203.81
2026-01-01 00:05:30,209.64
2026-01-01 00:05:36,209.23
2026-01-01 00:05:42,210.68
2026-01-01 00:05:48,207.92
2026-01-01 00:05:54,209.88
2026-01-01 00:06:00,211.11
2026-01-01 00:06:06,203.45
2026-01-01 00:06:12,218.22
2026-01-01 00:06:18,210.18
2026-01-01 00:06:24,206.93
2026-01-01 00:06:30,219.13
2026-01-01 00:06:36,209.1
2026-01-01 00:06:42,211.84
2026-01-01 00:06:48,204.62
2026-01-01 00:06:54,208.91
2026-01-01 00:07:00,207.25
2026-01-01 00:07:06,211.38
2026-01-01 00:07:12,208.76
2026-01-01 00:07:18,216.66
2026-01-01 00:07:24,207.05
2026-01-01 00:07:30,202.23
2026-01-01 00:07:36,207.77
2026-01-01 00:07:42,211.05
2026-01-01 00:07:48,214.52
2026-01-01 00:07:54,213.79
2026-01-01 00:08:00,206.07
2026-01-01 00:08:06,205.06
2026-01-01 00:08:12,210.13
2026-01-01 00:08:18,207.59
2026-01-01 00:08:24,204.66
2026-01-01 00:08:30,201.61
2026-01-01 00:08:36,203.96
2026-01-01 00:08:42,207.88
2026-01-01 00:08:48,209.63
2026-01-01 00:08:54,208.22
2026-01-01 00:09:00,204.85
2026-01-01 00:09:06,211.01
2026-01-01 00:09:12,214.93
2026-01-01 00:09:18,211.21
2026-01-01 00:09:24,213.84
2026-01-01 00:09:30,204.16
2026-01-01 00:09:36,210.83
2026-01-01 00:09:42,210.27
2026-01-01 00:09:48,210.82
2026-01-01 00:09:54,216.7
2026-01-01 00:10:00,219.82
2026-01-01 00:10:06,208.65
2026-01-01 00:10:12,210.2
2026-01-01 00:10:18,206.42
2026-01-01 00:10:24,216.42
2026-01-01 00:10:30,212.36
2026-01-01 00:10:36,204.36
2026-01-01 00:10:42,213.8
2026-01-01 00:10:48,208.11
2026-01-01 00:10:54,205.31
2026-01-01 00:11:00,201.86
2026-01-01 00:11:06,213.92
2026-01-01 00:11:12,215.85
2026-01-01 00:11:18,209.45
2026-01-01 00:11:24,206.14
2026-01-01 00:11:30,207.45
2026-01-01 00:11:36,199.53
2026-01-01 00:11:42,210.61
2026-01-01 00:11:48,206.51
2026-01-01 00:11:54,208.96
2026-01-01 00:12:00,214.74
2026-01-01 00:12:06,206.82
2026-01-01 00:12:12,205.69
2026-01-01 00:12:18,208.08
2026-01-01 00:12:24,200.6
2026-01-01 00:12:30,213.39
2026-01-01 00:12:36,223.01
2026-01-01 00:12:42,207.86
2026-01-01 00:12:48,204.69
2026-01-01 00:12:54,213.04
2026-01-01 00:13:00,204.43
2026-01-01 00:13:06,208.1
2026-01-01 00:13:12,217.29
2026-01-01 00:13:18,222.15
2026-01-01 00:13:24,206.45
2026-01-01 00:13:30,204.83
2026-01-01 00:13:36,205.76
2026-01-01 00:13:42,211.7
2026-01-01 00:13:48,213.65
2026-01-01 00:13:54,216.14
2026-01-01 00:14:00,204.36
2026-01-01 00:14:06,210.42
2026-01-01 00:14:12,206.79
2026-01-01 00:14:18,216.36
2026-01-01 00:14:24,215.48
2026-01-01 00:14:30,211.34
2026-01-01 00:14:36,211.67
2026-01-01 00:14:42,215.16
2026-01-01 00:14:48,208.87
2026-01-01 00:14:54,207.83
2026-01-01 00:15:00,208.29
2026-01-01 00:15:06,211.54
2026-01-01 00:15:12,213.61
2026-01-01 00:15:18,207.58
2026-01-01 00:15:24,212.28
2026-01-01 00:15:30,210.38
2026-01-01 00:15:36,219.65
2026-01-01 00:15:42,215.07
2026-01-01 00:15:48,204.1
2026-01-01 00:15:54,208.17
2026-01-01 00:16:00,208.41
2026-01-01 00:16:06,216.27
2026-01-01 00:16:12,208.73
2026-01-01 00:16:18,207.54
2026-01-01 00:16:24,216.68
2026-01-01 00:16:30,214.89
2026-01-01 00:16:36,206.37
2026-01-01 00:16:42,213.14
2026-01-01 00:16:48,212.76
2026-01-01 00:16:54,212.42
2026-01-01 00:17:00,212.64
2026-01-01 00:17:06,213.57
2026-01-01 00:17:12,209.0
2026-01-01 00:17:18,209.37
2026-01-01 00:17:24,218.34
2026-01-01 00:17:30,207.09
2026-01-01 00:17:36,206.71
2026-01-01 00:17:42,207.02
2026-01-01 00:17:48,207.52
2026-01-01 00:17:54,211.81
2026-01-01 00:18:00,210.7
2026-01-01 00:18:06,210.15
2026-01-01 00:18:12,206.18
2026-01-01 00:18:18,207.16
2026-01-01 00:18:24,211.86
2026-01-01 00:18:30,209.12
2026-01-01 00:18:36,213.19
2026-01-01 00:18:42,215.98
2026-01-01 00:18:48,207.28
2026-01-01 00:18:54,203.24
2026-01-01 00:19:00,208.45
2026-01-01 00:19:06,205.24
2026-01-01 00:19:12,218.25
2026-01-01 00:19:18,203.22
2026-01-01 00:19:24,213.11
2026-01-01 00:19:30,214.15
2026-01-01 00:19:36,203.15
2026-01-01 00:19:42,206.8
2026-01-01 00:19:48,208.23
2026-01-01 00:19:54,213.01
2026-01-01 00:20:00,212.58
2026-01-01 00:20:06,217.66
2026-01-01 00:20:12,208.99
2026-01-01 00:20:18,211.42
2026-01-01 00:20:24,208.8
2026-01-01 00:20:30,216.53
2026-01-01 00:20:36,205.28
2026-01-01 00:20:42,209.06
2026-01-01 00:20:48,211.86
2026-01-01 00:20:54,210.99
2026-01-01 00:21:00,210.83
2026-01-01 00:21:06,211.08
2026-01-01 00:21:12,213.3
2026-01-01 00:21:18,203.93
2026-01-01 00:21:24,212.69
2026-01-01 00:21:30,204.85
2026-01-01 00:21:36,206.15
2026-01-01 00:21:42,207.13
2026-01-01 00:21:48,207.62
2026-01-01 00:21:54,220.68
2026-01-01 00:22:00,211.18
2026-01-01 00:22:06,217.91
2026-01-01 00:22:12,213.16
2026-01-01 00:22:18,210.9
2026-01-01 00:22:24,204.2
2026-01-01 00:22:30,201.63
2026-01-01 00:22:36,209.99
2026-01-01 00:22:42,203.02
2026-01-01 00:22:48,203.23
2026-01-01 00:22:54,214.55
2026-01-01 00:23:00,214.55
2026-01-01 00:23:06,207.39
2026-01-01 00:23:12,214.85
2026-01-01 00:23:18,212.69
2026-01-01 00:23:24,207.57
2026-01-01 00:23:30,205.79
2026-01-01 00:23:36,202.89
2026-01-01 00:23:42,208.03
2026-01-01 00:23:48,212.44
2026-01-01 00:23:54,200.06
2026-01-01 00:24:00,207.22
2026-01-01 00:24:06,203.57
2026-01-01 00:24:12,205.28
2026-01-01 00:24:18,215.62
2026-01-01 00:24:24,208.15
2026-01-01 00:24:30,211.24
2026-01-01 00:24:36,208.98
2026-01-01 00:24:42,213.95
2026-01-01 00:24:48,204.02
2026-01-01 00:24:54,199.73
2026-01-01 00:25:00,216.74
2026-01-01 00:25:06,214.81
2026-01-01 00:25:12,208.15
2026-01-01 00:25:18,203.69
2026-01-01 00:25:24,210.34
2026-01-01 00:25:30,211.87
2026-01-01 00:25:36,203.83
2026-01-01 00:25:42,212.88
2026-01-01 00:25:48,208.88
2026-01-01 00:25:54,208.45
2026-01-01 00:26:00,202.1
2026-01-01 00:26:06,214.28
2026-01-01 00:26:12,207.59
2026-01-01 00:26:18,202.26
2026-01-01 00:26:24,209.72
2026-01-01 00:26:30,210.46
2026-01-01 00:26:36,205.51
2026-01-01 00:26:42,210.13
2026-01-01 00:26:48,209.67
2026-01-01 00:26:54,205.2
2026-01-01 00:27:00,204.76
2026-01-01 00:27:06,218.11
2026-01-01 00:27:12,203.8
2026-01-01 00:27:18,211.25
2026-01-01 00:27:24,204.59
2026-01-01 00:27:30,206.38
